Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
West Virginia (Big 12),0,12,0.435,0.412,0.571,0.368,0.606,6.17,59.58,22,25.25,37.49,8.38,13.83,267.4,6.91,12.42,255.7,1.86,0.851,4.09,0.8,4.09,4.36,175.5,5.37,239.5,1.75,38.3,32.6,5.5,1.83,4.3,29.18,5.58,431.2,6.63,506.9,0.42,0.833,Big 12,0.001,-5.7,0,5,2016
Illinois (Big Ten),0,12,0.284,0.446,0.438,0.313,0.511,6.25,53.25,21.5,15,35.03,5.85,11.45,174.6,7.24,11.5,185.9,4.39,0.895,4.58,0.774,3.97,4.62,219.2,4.78,140.5,1.67,12.5,19.7,5.08,2.33,7.9,26.1,4.06,252.7,5.32,315.1,-0.17,0.25,Big Ten,0.001,7.2,0,5,2016
Indiana (Big Ten),0,12,0.399,0.319,0.231,0.615,0.596,6.25,55.17,19.33,21.42,35.45,8.02,13.45,277.9,6.72,12.76,220.2,7.59,0.897,4.31,0.711,3.6,3.64,152.4,3.75,155.2,2.17,14.2,25.9,7.25,2.33,7.4,28.4,4.25,282.3,5.69,433.1,-0.58,0.5,Big Ten,0.2,11.7,0,5,2016
Iowa (Big Ten),0,12,0.326,0.345,0.688,0.571,0.587,5.33,43.92,18.75,16.92,38.37,6.77,11.52,161.3,6.37,12.74,199.7,12.28,0.735,3.71,0.921,4.89,4,153.2,4.48,171.9,2.42,15.5,26.8,5.08,2.08,4.6,27.13,4.94,303,5.35,333.3,0.58,0.667,Big Ten,0.5,11.3,0,5,2016
Maryland (Big Ten),0,12,0.349,0.393,0.407,0.375,0.59,6.42,59,23.67,18.25,38.09,6.8,11.54,174,6.98,12.33,215.8,10.19,0.769,4.27,0.861,4.5,4.9,217.9,4.94,205.5,3.42,17.9,25.4,7.83,2.75,6.5,27.85,5.4,350.6,5.65,379.5,-0.42,0.5,Big Ten,0.001,7.5,0,5,2016
Michigan (Big Ten),0,12,0.442,0.209,0.667,0.385,0.623,4.92,46.33,14.25,22.25,37.61,7.81,12.53,216.1,5.42,12.17,135.9,15.57,0.68,3.36,0.906,4.73,3.14,116.8,4.98,223.3,1.5,22.8,41,5.92,3.67,9.6,32.93,4.89,352.6,6.06,439.3,0.5,0.833,Big Ten,0.5,18.2,0,5,2016
Michigan St. (Big Ten),0,12,0.387,0.423,0.476,0.647,0.57,6.42,60.33,18.58,20.5,38.22,7.21,12.64,222.3,7.45,12.49,206.2,6.95,0.902,4.76,0.81,4.14,4.14,158.7,4.4,172.7,2.25,22.1,24.1,6.08,0.92,4.7,31.68,4.89,352,5.64,395,-0.42,0.25,Big Ten,0.2,2,0,0,2016
Minnesota (Big Ten),0,12,0.393,0.39,0.5,0.458,0.552,6.5,56.5,19.25,19.42,37.41,6.91,12.52,177.3,6.28,11.22,228.2,6.05,0.889,4.67,0.87,4.61,3.47,124.4,4.33,186.4,1.25,22.9,30.3,5.33,2.83,8,31.28,5.06,352.8,5.29,363.8,0.67,0.667,Big Ten,0.001,7.4,0,5,2016
Nebraska (Big Ten),0,12,0.45,0.37,0.632,0.48,0.508,5.67,54.5,17.17,20.67,32.52,6.97,13.71,207.9,6.55,10.89,209.6,7.3,0.867,4.5,0.814,4.26,4.28,141,4.32,178.2,0.92,23.4,26.8,4.83,2.17,5.2,32.47,5.53,364.8,5.43,386.1,0.42,0.75,Big Ten,0.333,3.4,0,5,2016
Northwestern (Big Ten),0,12,0.386,0.358,0.423,0.583,0.579,3.58,29.5,21.83,21.17,35.47,6.65,11.47,247.7,6.81,11.08,264.9,6.95,0.776,3.86,0.737,3.95,3.68,136.7,3.86,145.3,2.92,27.3,25.6,7.08,2.17,6.2,25.72,5,372.6,5.25,392.9,0.58,0.5,Big Ten,0.001,-1.7,0,5,2016
Ohio St. (Big Ten),1,12,0.486,0.308,0.684,0.364,0.628,6.17,48.83,14.67,25.25,42.54,7.06,11.25,221.2,5.42,11.48,164.5,5.38,0.722,3.17,0.871,4.55,3.27,117.8,5.54,258.3,2.08,27.8,42.7,4.58,2.17,6.7,33.92,5.28,401.6,6.15,479.5,1.33,0.917,Big Ten,1,14.9,0,1,2016
Penn St. (Big Ten),0,13,0.321,0.373,0.5,0.381,0.575,4.85,42.85,18.54,20.15,37.37,9.38,16.33,261.2,6.17,9.96,198.5,6.07,0.884,4.4,0.859,4.17,3.86,153.5,4.33,168.8,1.77,29,36.7,6.54,3,8.6,27.82,5.54,405.1,6.43,430.1,0.23,0.846,Big Ten,0.667,7.7,1,5,2016
Purdue (Big Ten),0,12,0.45,0.492,0.455,0.692,0.56,4.33,37.25,21.75,21.17,37.71,6.35,11.34,294.9,7.9,13.31,207.4,7.58,0.895,4.79,0.757,3.81,5.25,238.4,3.2,96.2,2.42,31.9,24.6,5.75,1.75,5.6,29.32,5.75,433.7,5.11,391.1,-1.42,0.25,Big Ten,0.001,-7.3,0,5,2016
Rutgers (Big Ten),0,12,0.308,0.405,0.438,0.524,0.479,5.25,43,20.17,15.5,32.29,5,10.43,138.3,7.59,13.01,186.5,7.64,0.727,3.98,0.68,3.12,5.7,264.2,3.56,144.9,2.83,37.5,15.7,7.75,1.75,5.5,27.17,6.22,445.8,4.14,283.2,-0.42,0.167,Big Ten,0.001,-21.8,0,5,2016
Wisconsin (Big Ten),0,13,0.43,0.268,0.5,0.294,0.612,3.31,32.31,16.23,20.46,34.3,7.54,12.32,179.2,6.57,12.58,206.1,6.81,0.771,3.6,0.849,4.47,3.23,96.9,4.29,204.5,1.69,38.3,28.7,5.77,2.46,5.5,35.33,6.35,450.7,5.37,383.7,0.85,0.769,Big Ten,0.5,-9.6,0,5,2016
Notre Dame (FBS Independent),0,12,0.405,0.39,0.65,0.522,0.577,6.5,53.17,20.33,21.17,35.28,7.86,13.62,254.3,7.53,12.21,196.4,9.1,0.81,4.29,0.833,4.38,4.14,182.4,4.47,163.3,2.33,35.5,30.9,5.33,1.17,5.1,28.92,5.4,378.8,6.07,417.6,-0.33,0.333,FBS Independent,0.001,-4.6,-1,3,2016
Arizona (Pac-12),0,12,0.363,0.526,0.278,0.313,0.513,6.33,64,25.17,20.5,37,6.98,13.61,178.1,7.73,11.75,275.2,4.67,0.875,4.88,0.775,4.05,4.7,194.2,5.54,235,2.33,20.2,24.8,6.08,1.83,4.9,25.83,6.1,469.3,6.08,413.1,-0.58,0.25,Pac-12,0.001,4.6,0,5,2016
Arizona St. (Pac-12),0,12,0.381,0.358,0.471,0.563,0.605,5.5,52,23.17,20.33,42.04,7.32,12.11,259.3,8.84,13.84,357.4,10.26,0.917,4.56,0.915,4.85,4.9,163.1,3.32,131.5,3.42,17.2,33.3,7.5,2.33,7.1,30.18,7.07,520.5,5.21,390.8,-0.33,0.417,Pac-12,0.001,16.1,0,5,2016
California (Pac-12),0,12,0.388,0.472,0.742,0.818,0.617,7.42,75.75,26.67,28,36.12,6.93,11.24,358.8,7.46,12.48,245.4,3.82,0.926,5.11,0.87,4.39,6.16,272.9,4.47,154.3,1.33,20.5,37.1,4.67,1.5,4.3,28.3,6.71,518.3,5.95,513.2,0.25,0.417,Pac-12,0.4,16.6,0,5,2016
Colorado (Pac-12),0,13,0.447,0.316,0.438,0.421,0.619,5.46,48.15,17.08,23.85,33.75,7.67,12.39,254.4,5.4,11.19,182.5,10.19,0.738,3.71,0.895,4.63,4.03,145.8,4.12,191.9,2.15,22.2,32.8,5.38,2.69,4.9,31.08,4.69,328.3,5.59,446.3,0.54,0.769,Pac-12,0.5,10.6,0,5,2016
Oregon (Pac-12),0,12,0.391,0.485,0.621,0.438,0.644,8.25,75.83,28.08,23.33,34.68,7.98,12.39,265.3,7.27,11.21,271.9,7.55,0.892,5.08,0.824,4.59,5.67,246.5,5.51,226.4,2.42,27.2,35.4,6.17,2.08,5.1,25.73,6.41,518.4,6.61,491.7,-0.25,0.333,Pac-12,0.5,8.2,0,1,2016
Oregon St. (Pac-12),0,12,0.372,0.418,0.2,0.522,0.547,8,71.83,23.08,18.17,38.12,5.91,10.81,173.8,6.3,11.21,211.2,6,0.818,4.16,0.868,4.66,5.32,218,5.2,191.7,2.08,23.9,26.2,4.83,1.5,4.3,30.78,5.76,429.2,5.52,365.5,0.08,0.333,Pac-12,0.001,2.3,0,5,2016
Southern California (Pac-12),0,12,0.472,0.352,0.5,0.6,0.663,7.42,65.67,18.83,24.08,36.26,7.68,11.59,261.7,6.6,11.66,225.3,16.46,0.8,4.29,0.808,4.27,3.87,133.7,5.27,207.3,0.92,27.5,32.9,4.67,2.08,5.6,31.78,5.22,359,6.39,468.9,-0.17,0.75,Pac-12,0.4,5.4,0,5,2016
Stanford (Pac-12),0,12,0.429,0.368,0.5,0.571,0.592,6.08,51.83,19,18.33,38.78,6.63,11.19,158.5,6.6,12.16,218.9,7.67,0.78,4.02,0.853,4.24,4.19,146.7,5.4,215.6,2.58,30.5,26.4,5.42,2.92,5.3,32.8,5.36,365.6,5.86,374.1,-0.08,0.75,Pac-12,0.001,-4.1,0,5,2016
UCLA (Pac-12),0,12,0.352,0.347,0.455,0.7,0.553,6.58,59.67,22.25,19.75,35.11,7.18,12.99,295.6,5.73,10.31,210.5,6.5,0.878,4.16,0.795,4.08,4.09,171.5,2.93,84.3,2,38.3,24.9,5.83,2.08,5.4,26.73,4.86,382,5.43,379.8,-0.17,0.333,Pac-12,0.001,-13.4,0,5,2016
Utah (Pac-12),0,12,0.379,0.387,0.571,0.455,0.533,6.75,58.25,19.33,22,44.9,6.94,13.02,216.9,7.22,12.9,256.8,7.68,0.879,4.55,0.76,3.78,3.98,129.7,4.88,210.5,1.83,39.8,30.2,6.17,3.33,7.8,33.67,5.67,386.5,5.74,427.4,0.58,0.667,Pac-12,0.001,-9.6,0,5,2016
Washington (Pac-12),1,13,0.451,0.307,0.556,0.5,0.632,5.38,47.54,17.69,23.23,33.98,9.39,14.84,267.2,5.76,10.02,192.6,11.96,0.762,3.93,0.93,5,3.46,123.5,5.46,210,1.62,42.6,44.5,4.62,2.85,6.2,31.18,4.57,316.2,7.13,477.2,1.62,0.923,Pac-12,0.8,1.9,1,5,2016
Washington St. (Pac-12),0,12,0.483,0.41,0.552,0.375,0.713,8,70,20.58,27,35.77,7.26,10.18,370.8,8.01,12.75,283.6,14.68,0.833,4.67,0.824,4.63,4.12,132.9,4.49,126.8,2.17,41.4,40.3,4.67,1.42,5.5,32.53,6.16,416.5,6.27,497.6,0.5,0.667,Pac-12,0.333,-1.1,0,5,2016
Alabama (SEC),1,13,0.475,0.296,0.6,0.19,0.658,5.08,39.38,13.23,21.77,40.22,7.93,12.06,226.3,5.82,11.05,184.5,16.13,0.8,3.45,0.887,4.5,2.03,63.4,5.74,245,1.62,11.8,40.5,7.08,3.46,8.1,31.37,3.94,247.8,6.62,471.3,0.38,1,SEC,1,28.7,1,0,2016
Arkansas (SEC),0,12,0.42,0.447,0.556,0.667,0.611,5.67,50.42,18.67,22.83,41.65,8.42,13.78,263,7.83,13.36,219.3,7.63,0.837,4.6,0.782,4.15,6.16,209.3,4.35,174.9,2.42,15.6,30.8,6.42,1.75,4.3,35.02,6.91,428.7,6.12,437.9,-0.17,0.583,SEC,0.429,15.2,0,5,2016
Auburn (SEC),0,12,0.425,0.34,0.389,0.5,0.63,4.58,34.33,18.5,22,38.86,7.82,12.42,170.8,6.13,10.69,223.6,11.27,0.711,3.16,0.865,4.27,3.58,124.8,5.58,278.5,1.58,16.4,32.3,5.67,2.08,6.8,29.38,4.88,348.4,6.26,449.3,0.33,0.667,SEC,0.4,15.9,0,2,2016
Florida (SEC),0,12,0.418,0.358,0.467,0.267,0.59,6.67,58.17,16,18.67,40.95,6.71,11.38,215.3,6.17,13.3,156.3,6.7,0.75,3.75,0.7,3.6,3.82,142.3,3.71,129.8,2.08,17.9,23.4,5.42,2.5,6.1,31.42,4.77,298.6,5.14,345.1,0.08,0.667,SEC,0.25,5.5,0,5,2016
Georgia (SEC),0,12,0.411,0.363,0.5,0.4,0.548,5.58,41.83,15.92,20.33,34.91,6.44,11.76,195.9,7.21,12.32,186.9,11.62,0.946,5.19,0.829,4.1,3.93,141.1,4.58,186.5,1.75,22.6,24,6.5,2,4.6,33.73,5.3,328,5.37,382.4,0.58,0.583,SEC,0.4,1.4,0,5,2016
Kentucky (SEC),0,12,0.393,0.449,0.833,0.455,0.543,5,45.33,22.83,20,35.51,8.07,14.86,187,7.62,13.13,214.5,8.43,0.795,4.16,0.872,4.46,5.14,225,5.52,241.3,2.17,23.8,31,5.92,1.75,5.4,30.03,6.11,439.5,6.41,428.3,-0.5,0.583,SEC,0.5,7.2,0,5,2016
LSU (SEC),0,11,0.437,0.343,0.125,0.529,0.587,4.91,40.36,16.45,19.55,39.92,7.67,13.06,187.6,6.57,12.03,201.2,7.05,0.833,3.3,0.811,4.3,3.4,121.8,6.27,238.1,1.64,24.1,28.3,5.45,2.55,6.1,30.72,4.86,323,6.82,425.7,0,0.636,SEC,0.5,4.2,0,4,2016
Mississippi St. (SEC),0,12,0.399,0.414,0.538,0.72,0.565,5.5,49.33,22.83,22.42,35.42,6.74,11.94,215.8,7.7,12.63,283.1,3.83,0.811,4.25,0.765,4.06,4.75,178.2,5.61,233.2,1.5,24.8,31.5,5.33,2,6.5,29.18,6.21,461.3,6.1,449,0.42,0.417,SEC,0.333,6.7,0,5,2016
Missouri (SEC),0,12,0.43,0.443,0.542,0.417,0.556,6.67,57.08,22.75,24.33,40.35,7.91,14.24,295.4,7.09,12.29,246.8,11.27,0.82,4.32,0.745,4.18,5.26,232.8,4.92,205.1,1.17,29.3,31.4,2.92,2.25,6,24.3,6.07,479.7,6.34,500.5,-0.25,0.333,SEC,0.001,2.1,0,5,2016
Ole Miss (SEC),0,12,0.402,0.417,0.375,0.643,0.598,4.92,43.33,22.5,24.83,38.26,7.82,13.08,314.9,7.37,12.52,214.9,6,0.938,5,0.842,4.16,5.41,246.3,4.25,149.4,2.17,30.8,32.6,4.67,1.67,5.7,25.93,6.18,461.3,6.16,464.3,-0.25,0.417,SEC,0.286,1.8,0,5,2016
South Carolina (SEC),0,12,0.345,0.428,0.524,0.571,0.602,5.17,47.58,22.83,17.83,37.99,6.63,11.02,198.4,6.61,11.15,204.3,3.73,0.735,3.92,0.811,4.22,4.85,202.8,3.76,138,3,31.2,19.3,7.67,1.75,5.5,29.77,5.6,407.2,5.05,336.4,0.83,0.5,SEC,0.25,-11.9,0,5,2016
Tennessee (SEC),0,12,0.41,0.384,0.25,0.333,0.63,6.17,55.83,22.92,21.25,40.13,8.24,13.07,234.1,7.03,12.52,228.5,11.44,0.854,4.38,0.889,4.87,5.15,231.7,5.09,203.2,2.08,31.5,36.3,5.5,2.17,7.8,27.05,5.94,460.2,6.4,437.3,-0.17,0.667,SEC,0.5,4.8,0,5,2016
Texas A&M (SEC),0,12,0.396,0.392,0.563,0.35,0.534,6.08,50.83,24.08,21.33,41.82,7.14,13.36,250.6,6.91,11.84,254.6,28.58,0.736,3.57,0.857,4.35,4.28,189.6,5.72,217.5,1.75,33.1,35.4,5.58,3,8.6,26.45,5.47,444.2,6.4,468.1,0.42,0.667,SEC,0.6,2.3,0,5,2016
Vanderbilt (SEC),0,12,0.358,0.392,0.286,0.353,0.549,5.25,44.58,20.42,19.58,36.46,6.69,12.19,194,7.13,11.69,245.4,3.94,0.659,3.34,0.955,4.98,4.74,165.4,4.29,165.2,2.25,34,23.5,5.92,1.25,5.5,31.93,5.93,410.8,5.32,359.2,0.5,0.5,SEC,0.333,-10.5,0,5,2016
Boston College (ACC),0,12,0.267,0.241,0.385,0.2,0.446,6.5,57.42,13.83,14.5,39.84,5.36,12.02,111.2,5.88,12.76,166.9,8.1,0.733,3.2,0.778,4.22,2.39,82.8,3.93,164.4,2.33,15.3,17.2,8.58,2.83,9.6,29.92,4.07,254.3,4.4,275.6,0.25,0.25,ACC,0.001,1.9,0,5,2015
Clemson (ACC),1,13,0.477,0.249,0.583,0.45,0.688,5.77,48.23,14.08,25.54,37.13,8.35,12.14,288.5,6.16,11.9,171.5,1.5,0.829,4.2,0.898,4.53,3.7,128.8,4.95,222.2,1.08,20.2,38.5,4.54,2.92,8.3,31.87,4.68,295.7,6.43,510.6,-0.15,1,ACC,1,18.3,1,5,2015
Duke (ACC),0,12,0.439,0.364,0.526,0.421,0.591,5.5,46.17,16.83,23.92,38.57,6.48,10.98,253.4,6.75,14.09,173.8,7.26,0.857,4.54,0.843,4.12,3.4,143.4,4.47,177.9,1.42,24.1,30.5,4.25,1.42,6.8,28.68,5.21,372,5.47,431.3,-0.08,0.583,ACC,0.333,6.4,0,5,2015
Florida St. (ACC),0,12,0.379,0.371,0.5,0.5,0.65,6.92,53,16.92,20.92,39.91,7.89,12.15,244,5.62,9.96,185.8,3.78,0.8,3.6,0.884,4.33,3.87,141.8,5.4,180.9,1.92,15.8,32.3,5.25,2.5,5.8,29.73,4.7,327.7,6.6,424.9,0.33,0.833,ACC,0.5,16.5,0,0,2015
Georgia Tech (ACC),0,12,0.349,0.361,0.5,0.545,0.422,3.17,27.42,17.5,19.42,35.83,7.61,18.05,121.8,6.61,12.23,188.5,9.45,0.833,4.21,0.838,4.78,4.69,165.1,5.27,256.2,1.33,25.8,29.3,6.33,1.17,3.9,31.13,5.82,368,5.85,378,-0.58,0.25,ACC,0.333,3.5,0,5,2015
Louisville (ACC),0,12,0.386,0.355,0.583,0.5,0.561,7.25,60.33,17.58,20.92,37.77,7.73,13.76,246.6,6.06,11.14,194.5,6.04,0.839,4.16,0.818,4.15,3.25,118.8,4.31,159.7,3.58,24.3,28.8,7.42,2.75,7.5,29.5,4.79,323.4,5.89,406.3,-0.25,0.583,ACC,0.001,4.5,0,5,2015
Miami (FL) (ACC),0,12,0.359,0.399,0.733,0.462,0.602,9.33,82.42,17.58,19.67,37.22,8.11,13.48,281.9,6.52,10.75,196.3,9.16,0.896,4.5,0.839,4.02,5.35,210.5,3.64,119.5,1.25,28.8,28.9,4.17,2,5.2,30,5.86,406.8,5.94,401.4,1.08,0.667,ACC,0.25,0.1,0,5,2015
NC State (ACC),0,12,0.417,0.333,0.6,0.333,0.608,5.67,53.08,18.08,21.58,39.37,6.56,10.79,210.5,7.55,12.21,202.5,12.96,0.852,4.11,0.846,4.67,4.22,144,4.94,201.4,2.83,23.8,33.7,7.67,2.58,7.2,33.13,5.31,332.5,5.66,411.9,0.83,0.583,ACC,0.001,9.9,0,5,2015
North Carolina (ACC),0,13,0.47,0.43,0.583,0.645,0.641,5.77,47.38,16.85,23.62,35.5,9.2,14.36,264,7.23,12.05,202.9,13.17,0.804,4.24,0.894,4.68,4.77,216.8,5.9,222.9,1.08,22.6,40.9,4.23,1.77,4.8,25.45,5.3,411.3,7.33,486.9,0.62,0.846,ACC,0.5,18.3,0,5,2015
Pittsburgh (ACC),0,12,0.437,0.368,0.846,0.417,0.618,5.33,43.75,19.08,19.75,37.46,7.27,11.76,195.1,6.58,11.81,204.7,6.32,0.969,4.41,0.867,4.53,4.06,126.1,4.57,185.9,2.42,24.6,28.3,5.25,3.08,7.1,32.85,5.58,344.3,5.64,381,0.17,0.667,ACC,0.001,3.7,0,5,2015
Syracuse (ACC),0,12,0.335,0.369,0.733,1,0.536,5.33,48.08,20.5,17,40.06,6.15,11.47,156.8,7.13,12.77,218.2,15.94,0.902,4.59,0.923,4.54,4.75,181.8,4.4,163.2,1.75,31,27.3,7.08,1.92,6.5,29.28,6.21,438.5,5.11,319.9,0.42,0.333,ACC,0.001,-3.7,0,5,2015
Virginia (ACC),0,12,0.425,0.369,0.533,0.474,0.61,7.58,63.83,22.75,20.25,38.39,6.92,11.35,238.3,8.16,13.07,254.9,16,0.809,3.96,0.879,4.18,4.5,156.6,4.1,144.8,1.75,32.2,25.8,6.25,2.25,6.3,32.68,6.23,411.5,5.49,383,-0.75,0.333,ACC,0.001,-6.4,0,5,2015
Virginia Tech (ACC),0,12,0.369,0.337,0.615,0.471,0.562,7.58,64.67,21.5,19.33,38.96,7.28,12.96,216,7.81,14.07,228.6,5.11,0.857,4.29,0.87,4.5,4.55,180,3.62,151.3,2.83,24.2,29,6.75,1.75,6.4,31.25,5.41,353.8,5.14,367.3,0.5,0.5,ACC,0.001,4.8,0,5,2015
Wake Forest (ACC),0,12,0.351,0.354,0.412,0.444,0.566,5.08,46.42,25.5,18.92,41.25,6.57,11.61,228.3,7.94,12.27,256.7,3.75,0.788,3.91,0.781,3.75,4.19,161.3,3.03,105.2,3.33,24.6,17.4,7.42,1.67,6.2,31.13,5.57,363.8,4.8,333.4,-1.08,0.25,ACC,0.001,-7.2,0,5,2015
Baylor (Big 12),0,12,0.455,0.346,0.706,0.391,0.59,8.92,77.17,20.5,28.75,39.43,9.85,16.68,304.4,6.88,11.98,232.7,4.27,0.917,4.92,0.889,4.95,3.64,156.3,5.72,300.2,1.25,27.5,48,5.08,2.33,7.9,27.08,5.06,389,7.25,604.6,-0.08,0.75,Big 12,0.333,20.5,0,5,2015
Iowa St. (Big 12),0,12,0.402,0.469,0.448,0.429,0.577,4.92,40.75,22.25,21.42,36.94,6.61,11.46,226.3,7.93,12.96,266.8,17.41,0.86,4.6,0.775,4.05,4.67,186.6,4.39,182,3.5,32.7,25,6.42,2.5,6.2,31.53,6.16,453.4,5.39,408.3,-0.92,0.25,Big 12,0.001,-7.7,0,5,2015
Kansas (Big 12),0,12,0.365,0.453,0.269,0.692,0.538,5.83,56.17,28.5,17.67,34.21,5.8,10.79,218.6,8.77,13.2,293.7,2,0.779,4.21,0.667,3.6,5.67,267.2,3.04,112.9,3.33,46.1,15.3,7,2.17,4.8,28.33,6.96,560.8,4.43,331.5,-0.58,0.001,Big 12,0.001,-30.8,0,5,2015
Kansas St. (Big 12),0,12,0.396,0.427,0.533,0.409,0.469,5.17,40,21.92,18.92,37.1,6.64,14.17,177.1,7.99,12.58,283.1,7.13,0.826,4.37,0.941,4.82,4.26,159.4,3.87,164.3,2.75,30.3,30.5,6.83,3,5.8,32.93,6.08,442.5,4.94,341.3,-0.25,0.5,Big 12,0.001,0.2,0,5,2015
Oklahoma (Big 12),1,12,0.44,0.398,0.563,0.417,0.672,6.25,61.25,19.58,27.33,41.47,9.33,13.89,307.9,5.97,11.35,201.5,7.5,0.784,3.97,0.892,4.71,3.62,149.2,5.21,235,3,20.8,45.8,6.67,3.17,7.1,31.18,4.68,350.7,6.95,542.9,0.83,0.917,Big 12,1,25,1,5,2015
Oklahoma St. (Big 12),0,12,0.441,0.419,0.889,0.609,0.631,5.67,48.33,21.67,23.83,38.07,9.08,14.39,357.3,7.36,12.8,244.3,7.14,0.846,4.54,0.927,4.85,4.16,185.3,3.69,132.2,2.42,29,41.2,6.17,3.17,7.4,29.27,5.53,429.5,6.51,489.5,1.08,0.833,Big 12,0.333,12.2,0,5,2015
TCU (Big 12),0,12,0.456,0.28,0.364,0.5,0.63,7.17,69.92,21,27.58,36.63,8.82,14.01,345.5,6.32,12.86,214.3,10.65,0.775,4.05,0.78,4.32,4.26,182.3,5.11,218.8,1.33,26.1,41.7,5,2.33,6.3,31,5.17,396.7,6.88,564.3,0,0.833,Big 12,0.333,15.6,0,5,2015
Texas (Big 12),0,12,0.353,0.442,0.4,0.529,0.552,6.42,59.08,25.5,16.83,39.34,6.95,12.6,145.9,7.33,12.23,233.4,12.13,0.922,4.82,0.882,4.41,4.51,219.2,5.1,224.8,2.67,30.3,26.4,7,3.08,6.8,27.12,5.63,452.6,5.7,370.8,0.92,0.417,Big 12,0.4,-3.9,0,5,2015
Texas Tech (Big 12),0,12,0.519,0.5,0.476,0.438,0.64,7.17,64.42,26.17,28.83,36.95,8.29,12.95,389.7,7.7,12.58,268.3,6.29,0.85,4.85,0.9,4.75,5.92,271.8,5.61,204.8,1.75,42.6,46.6,4.83,1.58,5.6,27.73,6.69,540.2,7.12,594.5,0.17,0.583,Big 12,0.001,4,0,5,2015
West Virginia (Big 12),0,12,0.393,0.319,0.474,0.444,0.54,6.83,71.33,19.5,24.67,40.3,7.24,13.42,228.1,6.77,13.23,222.8,5.18,0.868,4.11,0.808,4.15,4,163.4,4.79,235.3,2.5,23.2,33.3,6.5,2.42,7.3,29.4,5.24,386.2,5.75,463.3,0.92,0.583,Big 12,0.001,10.1,0,5,2015
Illinois (Big Ten),0,12,0.363,0.314,0.44,0.524,0.549,5.5,49.08,18.08,20.42,33.44,5.63,10.25,243.4,5.65,9.88,184.4,10,0.872,4.38,0.725,3.68,4.27,166.4,4,129.3,1.67,23.3,22.7,5.58,1.58,7.4,29.68,4.9,350.8,4.93,372.7,0.33,0.417,Big Ten,0.001,-0.6,0,5,2015
Indiana (Big Ten),0,12,0.368,0.426,0.462,0.48,0.589,7,60.33,25.25,25.33,36.29,8.39,14.24,285.9,7.66,12.59,326.3,11.71,0.841,4.43,0.893,4.45,4.92,180.9,4.51,204.8,1.08,37.1,36.2,5.33,2.42,6.6,28.97,6.39,507.3,6.17,490.8,0.67,0.5,Big Ten,0.001,-0.9,0,5,2015
Iowa (Big Ten),0,13,0.429,0.37,0.6,0.56,0.613,5.08,48.69,19.31,20.46,36.63,7.81,12.73,201.8,6.04,11.27,219.3,12.53,0.818,4,0.865,4.62,3.43,114.9,4.71,192,1.77,18.5,32.1,5.46,2.23,4.5,31.53,4.79,334.2,5.91,393.8,0.92,0.923,Big Ten,0.667,13.6,0,5,2015
Maryland (Big Ten),0,12,0.294,0.349,0.333,0.5,0.472,7.08,62.17,21.83,18.08,35.29,5.39,11.43,174.3,8.05,13.97,258.4,17.27,0.907,4.89,0.813,4.03,3.75,162.8,5.46,200.7,2.08,34.4,24.7,7,2.92,7.3,27.6,5.58,421.2,5.43,375,-1.5,0.25,Big Ten,0.001,-9.7,0,5,2015
Michigan (Big Ten),0,12,0.443,0.256,0.375,0.409,0.62,6.92,62.33,16.92,19.75,36.06,7.32,11.82,234.3,5.35,11.14,158.8,11.41,0.839,3.77,0.939,4.84,3.59,122.6,4.12,152.7,1.5,17.2,30.6,5.17,2.5,6.8,33.02,4.41,281.3,5.6,387,-0.5,0.75,Big Ten,0.5,13.4,0,5,2015
Michigan St. (Big Ten),1,13,0.505,0.351,0.438,0.5,0.561,5.31,43.62,17.54,21.85,35.21,7.65,13.64,236.1,7.2,12.2,229.8,2.8,0.842,4.34,0.86,4.68,3.55,113.1,3.97,160.7,1.31,20.5,32.1,4.92,2.69,6.7,33.3,5.38,342.9,5.56,396.8,1.23,0.923,Big Ten,1,11.6,1,5,2015
Minnesota (Big Ten),0,12,0.379,0.413,0.375,0.5,0.572,6,48.83,19.5,17.33,38.32,6.47,11.32,214.2,6.01,10.33,182.4,2.67,0.884,4.6,0.848,4.09,4.16,171.6,4.21,142.9,1.42,26.1,22.6,4.58,1.67,6.3,28.45,4.95,354,5.33,357.1,-0.33,0.417,Big Ten,0.001,-3.5,0,5,2015
